,T,s,S,R3,z,Z,R2,E,N
cell_1426,True,False,True,False,False,True,True,True,False
cell_1435,True,True,True,False,True,True,False,True,False
cell_1442,True,False,True,True,True,True,False,True,False
cell_1446,False,False,False,False,False,True,True,False,True
cell_1447,False,False,False,False,True,False,True,False,False
cell_1462,False,True,True,True,False,False,True,False,False
cell_1467,False,False,False,False,True,True,False,False,False
cell_1487,True,False,False,True,True,False,True,True,True
cell_1498,True,False,True,False,False,True,True,True,True
cell_1509,True,False,False,False,True,True,False,False,False
cell_1525,False,True,False,False,True,False,False,False,False
cell_1526,False,True,False,False,False,True,True,True,True
cell_1530,True,True,False,False,True,True,False,True,True
cell_1532,True,True,False,False,True,True,True,True,True
cell_1533,False,False,False,False,True,True,False,True,True
cell_1534,False,True,False,False,True,True,False,True,True
cell_1553,False,True,True,False,False,False,True,False,True
cell_1555,False,False,True,False,True,True,False,False,True
cell_1582,True,False,False,False,True,False,True,True,True
cell_1587,False,True,True,True,True,True,False,True,False
cell_1616,False,True,True,True,False,True,True,True,True
cell_1617,False,True,True,False,False,True,False,True,True
cell_1618,False,False,True,False,False,True,False,True,True
cell_1620,True,False,True,False,False,True,False,True,True
cell_1623,True,False,True,False,False,False,False,True,True
cell_1624,True,True,True,False,False,True,False,True,True
cell_1667,True,True,False,True,False,True,False,False,False
cell_1708,True,False,True,False,True,True,True,True,True
cell_1711,True,True,True,False,False,True,True,True,True
cell_1713,True,True,True,True,False,True,True,True,True
cell_1718,False,False,False,False,True,False,False,False,True
cell_1738,False,False,False,True,True,True,True,True,True
cell_1762,False,False,True,False,True,True,False,False,False
cell_1776,True,False,True,True,True,False,True,True,True
cell_1777,True,False,True,True,False,False,False,True,True
cell_1809,True,False,True,True,True,True,True,True,True
cell_1829,False,True,True,False,True,True,False,False,False
cell_1905,True,False,False,False,True,True,True,True,False
cell_1936,False,True,False,True,False,False,True,True,False
cell_2023,False,True,False,True,True,True,False,False,False
cell_2040,False,False,False,False,False,False,True,True,False
cell_2053,False,True,False,True,False,False,True,True,True
cell_2091,False,True,False,False,False,False,False,False,False
cell_2095,False,True,False,True,False,False,True,False,False
cell_2105,True,False,False,False,True,True,True,False,True
cell_2139,False,False,False,True,True,False,False,False,False
cell_2145,False,True,False,False,False,True,False,True,False
cell_2175,False,True,True,True,False,True,False,False,False
cell_2190,True,True,True,True,True,False,False,False,False
cell_2203,False,True,False,True,False,True,False,True,True
cell_2220,True,True,True,True,True,True,False,False,True
cell_2222,False,False,True,True,False,True,False,True,True
cell_2235,True,False,True,True,True,False,True,False,True
cell_2236,True,False,True,False,True,False,False,False,True
cell_2241,True,True,True,True,True,True,True,False,True
cell_2339,True,False,True,True,False,False,False,False,False
cell_2342,True,False,True,False,False,False,False,False,False
cell_2366,False,False,True,True,False,True,True,False,False
cell_2382,True,True,True,False,False,True,True,True,False
cell_2405,True,True,False,False,True,True,True,False,True
cell_2465,True,True,True,True,False,True,False,False,False
cell_2486,True,True,True,True,False,False,True,False,False
cell_2490,False,True,True,True,False,False,True,True,True
cell_2493,True,True,True,True,False,False,True,True,True
cell_2606,True,False,True,False,False,False,True,False,True
cell_2607,True,False,True,False,False,False,False,False,True
cell_2678,True,False,False,True,False,True,True,True,False
cell_2709,False,True,False,False,True,True,True,False,False
cell_2717,False,False,False,False,True,True,False,False,True
cell_2734,True,False,True,False,True,False,True,False,False
cell_2768,True,False,True,True,False,False,True,False,False
cell_2798,True,True,True,True,False,True,False,True,True
cell_2850,False,False,False,True,True,True,False,True,True
cell_2869,True,False,True,False,True,False,True,False,True
cell_2926,False,False,True,False,False,True,False,True,False
