,T,s,S,R3,z,Z,R2,E,N
cell_894,True,False,True,False,True,True,False,True,False
cell_896,True,False,True,True,True,True,True,True,False
cell_903,True,False,False,False,False,True,True,True,False
cell_910,True,True,False,True,True,True,False,True,False
cell_912,True,True,False,True,True,True,True,True,False
cell_913,True,True,False,True,True,False,True,True,False
cell_920,False,False,False,False,True,True,False,False,False
cell_927,False,True,False,False,True,False,False,False,False
cell_930,True,True,False,True,False,True,False,False,False
cell_934,True,False,False,True,True,True,False,False,False
cell_941,False,False,True,False,False,True,True,True,False
cell_949,False,True,True,False,True,True,False,False,True
cell_958,False,True,False,True,True,False,False,False,True
cell_960,False,True,False,True,True,False,True,False,True
cell_969,False,False,False,True,True,False,False,False,True
cell_972,True,True,True,False,True,True,True,True,False
cell_993,False,True,True,False,True,False,True,False,False
cell_994,False,True,True,False,True,False,False,False,False
cell_995,False,True,True,False,True,False,True,False,True
cell_1004,False,False,False,True,True,False,False,False,False
cell_1005,False,False,False,False,True,False,True,False,False
cell_1012,False,False,True,False,False,False,True,False,True
cell_1014,False,False,True,False,True,False,False,False,True
cell_1015,False,False,False,False,True,False,False,False,True
cell_1024,True,True,True,True,False,True,True,True,False
cell_1025,True,True,True,False,False,True,True,True,False
cell_1029,True,False,True,True,False,True,False,False,False
cell_1030,True,False,True,True,False,True,False,True,False
cell_1033,False,False,True,False,False,False,False,True,True
cell_1035,False,False,True,True,True,False,False,False,True
cell_1036,False,False,True,True,False,False,True,True,True
cell_1050,True,False,False,False,True,False,True,False,False
cell_1052,False,False,False,True,False,True,True,True,False
cell_1055,False,True,False,True,False,True,True,True,False
cell_1056,False,True,False,True,True,True,True,True,False
cell_1071,False,False,True,True,True,True,True,True,False
cell_1074,False,False,False,True,False,True,False,False,False
cell_1081,False,False,False,False,True,True,False,True,True
cell_1092,True,False,False,True,False,True,False,True,True
cell_1101,True,False,False,True,False,True,True,False,True
cell_1102,True,False,False,True,True,True,True,False,True
cell_1103,True,False,False,False,True,True,True,False,True
cell_1104,True,True,False,False,True,False,False,False,True
cell_1105,True,False,False,False,True,False,False,False,True
cell_1108,True,False,False,False,True,False,True,False,True
cell_1122,True,False,True,False,False,False,True,True,True
cell_1125,True,True,True,True,False,False,True,True,True
cell_1142,False,False,False,False,False,False,True,True,True
cell_1145,False,False,False,False,True,False,True,True,True
cell_1164,False,True,True,True,True,False,False,False,False
cell_1166,False,True,True,True,True,False,True,False,False
cell_1174,True,False,False,True,False,False,False,True,True
cell_1182,False,True,True,False,False,True,True,False,False
cell_1197,False,False,False,True,False,False,True,False,False
cell_1202,True,False,True,True,True,False,True,False,False
cell_1204,True,False,True,True,False,False,True,False,False
cell_1214,False,True,False,False,True,True,False,False,True
cell_1215,False,True,False,False,True,True,True,False,True
cell_1223,True,True,True,False,False,True,False,True,False
cell_1224,True,False,True,False,False,True,False,True,False
cell_1228,True,True,True,False,False,True,False,False,False
cell_1235,True,False,True,False,False,False,False,False,False
cell_1243,False,False,False,False,True,False,True,False,True
cell_1246,False,True,False,False,True,False,True,False,True
cell_1248,False,True,False,False,True,False,False,False,True
cell_1254,True,False,False,True,False,True,False,False,False
cell_1285,False,True,True,True,True,False,True,False,True
cell_1295,False,True,True,True,False,True,True,False,True
cell_1301,False,True,True,True,True,True,True,False,True
cell_1306,False,False,False,True,True,True,False,False,True
cell_1310,False,True,False,True,True,True,False,True,True
cell_1327,False,True,False,False,False,True,False,False,True
cell_1334,False,True,False,False,False,False,False,False,True
cell_1338,False,False,False,False,False,False,False,False,True
cell_1344,False,True,True,True,False,True,False,False,False
cell_1347,False,True,True,True,False,False,False,False,False
cell_1354,True,False,False,True,False,True,True,True,True
cell_1360,True,True,False,True,True,False,False,True,True
cell_1370,False,False,True,True,False,True,False,False,True
cell_1371,False,False,False,True,False,True,False,False,True
cell_1384,True,True,True,True,True,False,False,False,True
cell_1386,True,True,True,False,True,False,True,False,True
cell_1407,False,False,True,False,False,True,False,False,False
cell_1409,False,False,True,True,False,True,True,False,False
cell_1425,True,True,True,True,True,True,False,False,True
cell_1430,True,True,False,True,False,False,False,False,True
cell_1458,False,True,True,False,False,True,False,True,True
cell_1522,False,True,True,False,True,False,False,True,True
cell_1526,False,True,True,True,True,True,False,True,True
cell_1536,True,False,True,True,True,True,True,True,True
cell_1578,False,True,False,False,False,True,True,True,False
cell_1580,False,True,True,False,False,True,True,True,False
cell_1581,False,True,True,True,False,True,False,True,False
cell_1606,True,True,True,False,False,False,False,True,True
cell_1611,True,False,True,True,False,False,False,True,True
cell_1615,True,True,True,True,False,False,False,True,True
cell_1618,True,True,True,True,True,True,False,False,False
cell_1627,True,True,True,True,False,False,True,False,False
cell_1628,True,True,True,False,False,False,True,False,False
cell_1677,False,True,True,False,True,True,False,True,False
cell_1685,False,True,True,True,True,False,False,False,True
cell_1713,True,True,True,True,True,True,False,True,True
cell_1717,False,True,False,True,True,True,True,False,False
cell_1732,False,True,True,True,True,False,False,True,True
cell_1752,False,False,False,False,False,True,True,True,False
cell_1757,False,False,False,False,True,True,False,True,False
cell_1772,False,False,False,False,True,False,False,True,False
cell_1776,False,False,False,False,False,True,False,False,False
cell_1789,True,True,False,False,True,False,False,False,False
cell_1800,False,False,False,True,True,False,False,True,True
cell_1804,False,False,False,False,False,True,False,True,True
cell_1810,True,True,False,False,True,False,True,False,False
cell_1811,True,True,False,True,True,False,True,False,False
cell_1818,False,False,True,False,False,True,True,False,False
cell_1869,True,False,False,True,False,False,True,True,False
cell_1880,False,False,False,True,True,False,True,False,False
cell_1882,False,False,False,True,True,False,True,True,False
cell_1905,False,True,True,False,True,False,False,False,True
cell_1918,False,True,False,False,False,False,True,True,True
cell_1934,False,False,True,False,False,False,False,True,False
cell_1965,False,False,True,True,False,False,True,True,False
cell_1970,True,False,False,False,False,False,False,False,False
cell_1971,True,False,False,False,False,False,True,False,False
cell_1977,False,True,False,True,False,True,True,False,False
cell_1985,False,True,False,False,True,True,False,False,False
cell_1993,False,False,False,False,False,False,True,True,False
cell_2000,False,False,True,False,False,True,False,True,False
cell_2014,False,False,True,False,False,True,True,True,True
cell_2016,False,True,True,False,False,True,True,True,True
cell_2038,False,False,False,True,True,True,False,True,True
cell_2071,False,False,False,False,False,True,True,False,False
cell_2076,False,False,False,False,False,True,False,True,False
cell_2133,True,True,True,False,True,False,False,False,False
cell_2134,True,True,True,True,True,False,False,False,False
cell_2140,True,True,False,True,False,False,True,False,False
cell_2174,False,True,True,False,True,True,True,True,True
cell_2179,False,False,True,True,True,True,True,False,True
cell_2268,False,True,True,False,True,False,False,True,False
cell_2291,True,True,False,False,False,False,False,True,False
cell_2308,True,True,False,False,True,True,False,True,True
cell_2358,True,True,False,True,True,False,False,False,True
cell_2370,False,False,True,True,True,True,False,False,True
cell_2396,False,True,True,False,False,True,False,True,False
cell_2398,False,True,True,False,False,True,False,False,False
cell_2428,False,True,False,False,True,False,True,True,True
cell_2507,False,True,True,False,True,True,True,False,True
cell_2525,False,True,False,False,True,True,True,True,False
cell_2659,False,True,True,False,True,True,False,True,True
cell_2816,False,False,False,True,True,True,True,True,False
cell_2872,False,False,False,True,False,False,True,True,True
cell_3026,True,True,True,False,True,False,True,True,False
cell_3074,False,False,True,True,True,True,False,True,False
cell_3213,False,False,True,True,False,True,True,True,False
cell_3320,True,False,False,True,True,True,False,False,True
cell_3333,True,False,True,False,True,False,True,True,False
cell_3463,True,True,True,True,False,False,True,True,False
cell_3545,False,False,True,False,True,True,False,False,True
cell_3585,False,False,True,False,False,False,True,True,False
cell_3615,False,False,True,True,True,False,True,False,True
cell_3751,True,True,False,True,False,True,False,True,True
cell_3946,False,True,True,True,True,True,False,True,False
cell_4096,True,False,True,False,True,True,True,False,False
cell_4442,True,True,False,False,False,True,False,True,True
cell_4536,True,True,False,True,False,True,False,False,True
