,T,s,S,R3,z,Z,R2,E,N
cell_930,True,True,False,True,False,False,False,False,True
cell_951,True,True,False,True,False,False,False,True,False
cell_961,False,False,False,False,True,False,False,True,True
cell_964,False,False,False,True,True,True,False,True,True
cell_970,False,True,False,True,False,False,False,False,False
cell_980,False,True,True,False,False,True,True,True,False
cell_981,False,True,True,True,False,True,True,True,False
cell_995,True,False,False,False,False,False,False,True,False
cell_998,False,False,True,True,False,False,True,True,False
cell_1001,False,True,False,True,True,True,True,True,False
cell_1010,True,True,False,True,True,True,False,True,False
cell_1036,True,False,False,False,True,True,True,True,True
cell_1049,True,False,True,False,True,True,False,False,False
cell_1063,False,True,False,True,False,False,True,False,False
cell_1068,False,False,False,True,True,True,True,False,False
cell_1070,False,True,False,True,False,True,True,False,False
cell_1094,False,False,False,False,False,True,False,True,True
cell_1095,True,False,False,True,False,False,False,False,False
cell_1100,False,False,True,True,True,False,False,False,True
cell_1105,False,False,True,False,True,True,True,False,True
cell_1106,False,True,False,False,True,True,True,False,True
cell_1107,False,True,False,True,True,True,True,False,True
cell_1112,False,False,True,False,False,True,False,False,True
cell_1128,True,True,False,False,True,True,True,False,True
cell_1129,True,True,False,False,True,False,False,False,True
cell_1131,True,True,False,True,True,True,False,False,True
cell_1133,False,False,True,True,True,False,True,True,False
cell_1157,False,True,False,True,True,True,True,True,True
cell_1162,False,True,False,True,True,False,True,False,False
cell_1163,False,True,False,False,True,True,True,False,False
cell_1167,False,True,False,False,False,True,False,False,True
cell_1183,False,True,False,True,False,False,False,False,True
cell_1185,False,True,False,True,True,True,False,False,True
cell_1204,True,False,False,True,True,True,False,True,False
cell_1211,False,False,False,True,False,True,False,True,False
cell_1219,False,False,True,False,True,True,True,True,True
cell_1248,False,True,False,False,False,False,False,False,True
cell_1254,False,False,True,False,False,False,False,False,False
cell_1258,True,False,True,False,False,False,True,False,False
cell_1267,True,False,False,False,False,False,False,True,True
cell_1278,True,True,False,False,False,False,False,True,False
cell_1315,True,False,True,True,False,False,False,True,True
cell_1318,True,False,True,False,True,True,False,True,True
cell_1321,True,True,True,True,True,True,False,True,True
cell_1328,True,False,False,False,False,False,True,False,False
cell_1334,False,False,False,False,True,True,True,False,True
cell_1346,True,False,False,False,False,True,True,True,True
cell_1354,False,False,False,True,True,False,False,False,False
cell_1355,False,False,False,True,False,False,True,False,False
cell_1370,False,False,False,False,True,True,True,True,False
cell_1395,True,True,False,False,True,False,False,True,True
cell_1400,True,False,True,False,True,False,False,True,True
cell_1420,False,False,True,False,True,False,True,True,False
cell_1422,False,True,True,False,True,True,True,True,False
cell_1453,False,True,True,False,True,True,False,False,True
cell_1464,True,True,False,False,True,False,True,True,True
cell_1494,False,True,True,True,True,True,False,True,False
cell_1515,False,True,True,True,True,False,False,False,False
cell_1523,False,True,False,True,True,True,True,False,False
cell_1524,True,True,False,True,True,True,True,False,False
cell_1525,True,True,False,False,True,False,False,False,False
cell_1552,True,True,True,True,False,True,False,False,True
cell_1571,False,False,False,True,False,True,True,True,True
cell_1576,True,False,False,True,True,False,True,True,True
cell_1584,True,True,False,True,True,True,False,True,True
cell_1589,False,False,True,True,True,True,False,True,True
cell_1590,False,False,True,True,False,True,False,True,True
cell_1594,False,False,True,True,True,True,True,True,False
cell_1622,False,True,True,True,False,True,True,False,True
cell_1658,False,True,False,True,True,True,False,False,False
cell_1678,True,False,True,False,False,True,False,False,False
cell_1682,False,False,False,False,False,True,False,False,False
cell_1697,False,False,False,True,True,True,True,True,True
cell_1699,False,False,False,True,True,False,True,True,True
cell_1702,False,False,False,True,False,True,True,True,False
cell_1734,False,False,True,True,False,True,True,True,True
cell_1749,False,False,True,False,False,False,True,False,True
cell_1751,False,False,True,False,True,False,True,False,True
cell_1758,True,False,True,True,True,False,True,False,True
cell_1777,True,False,True,False,False,False,False,True,True
cell_1780,True,True,True,False,False,True,True,False,False
cell_1788,True,True,True,True,True,False,False,False,True
cell_1809,False,True,False,True,False,True,False,False,True
cell_1834,False,True,True,True,True,True,True,True,False
cell_1845,False,True,True,True,False,False,False,False,False
cell_1847,False,False,True,True,False,False,True,False,False
cell_1860,False,True,True,False,True,True,True,False,True
cell_1874,True,True,True,True,False,False,True,True,False
cell_1896,False,True,False,True,False,True,False,True,True
